,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
163,Altona,4/57 Blyth St,3,u,730000.0,SP,Barlow,2016-08-13,13.8,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay,-37.868,144.8286,Western Metropolitan,5301.0
56,Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,2016-10-15,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0
3642,Kew,176 Peel St,5,h,2550000.0,PI,Marshall,2016-06-18,5.6,3101.0,5.0,4.0,2.0,597.0,342.0,2016.0,Boroondara,-37.7937,145.0353,Southern Metropolitan,10331.0
5691,South Yarra,16h Stables La,1,u,280000.0,PI,Marshall,2017-02-25,3.3,3141.0,1.0,1.0,0.0,0.0,35.0,1910.0,Stonnington,-37.8423,144.997,Southern Metropolitan,14887.0
9532,Essendon,37 McPhail St,2,h,1195000.0,S,Jellis,2017-06-17,7.5,3040.0,2.0,1.0,1.0,337.0,122.0,1940.0,Moonee Valley,-37.7545,144.91194,Western Metropolitan,9264.0
5541,South Melbourne,247 York St,3,h,1250000.0,S,Greg,2016-08-10,2.1,3205.0,3.0,2.0,0.0,224.0,113.0,1890.0,Port Phillip,-37.8329,144.9529,Southern Metropolitan,5943.0
10942,Bundoora,6/70 Grange Bvd,2,t,505000.0,S,Barry,2017-12-08,12.1,3083.0,2.0,1.0,2.0,90.0,90.0,1995.0,Darebin,-37.70912,145.05181000000005,Northern Metropolitan,10175.0
11234,Toorak,3/716 Orrong Rd,3,u,1860000.0,S,Scott,2017-12-08,4.1,3142.0,3.0,2.0,2.0,0.0,176.0,1930.0,Stonnington,-37.8404,145.01425,Southern Metropolitan,7217.0
9212,Kew East,7 Riverside Dr,3,h,2260000.0,S,Jellis,2017-03-06,7.3,3102.0,3.0,2.0,4.0,753.0,280.0,1937.0,Boroondara,-37.79017,145.06381000000005,Southern Metropolitan,2671.0
5020,Preston,1/28 Carlisle St,2,u,610000.0,S,Harcourts,2016-08-28,8.8,3072.0,2.0,1.0,1.0,126.0,79.0,1970.0,Darebin,-37.7523,145.0091,Northern Metropolitan,14577.0
4052,Moonee Ponds,5/40 Young St,2,u,348000.0,S,Nelson,2016-03-12,6.9,3039.0,2.0,1.0,1.0,0.0,63.0,2007.0,Moonee Valley,-37.7677,144.9221,Western Metropolitan,6232.0
510,Balwyn,112 Belmore Rd,5,h,2570000.0,PI,RT,2016-03-12,9.7,3103.0,5.0,3.0,2.0,715.0,420.0,2009.0,Boroondara,-37.8028,145.0768,Southern Metropolitan,5682.0
11464,Notting Hill,3 Risdon Dr,4,h,1211000.0,S,One,2017-07-15,16.7,3168.0,4.0,3.0,3.0,727.0,167.0,1970.0,Monash,-37.90779000000001,145.15042,Southern Metropolitan,902.0
2575,Fitzroy North,26 Scotchmer St,3,t,1600000.0,VB,Jellis,2016-10-12,3.5,3068.0,3.0,3.0,1.0,188.0,129.0,2000.0,Yarra,-37.7829,144.9788,Northern Metropolitan,6244.0
1074,Brighton,2/422 St Kilda St,3,t,1475000.0,PI,Buxton,2016-07-11,11.2,3186.0,3.0,2.0,2.0,345.0,163.0,2000.0,Bayside,-37.8943,144.9907,Southern Metropolitan,10579.0
3856,Malvern East,24 Prior Rd,2,h,1150000.0,PI,Jellis,2016-05-14,11.2,3145.0,2.0,1.0,2.0,604.0,119.0,1960.0,Stonnington,-37.8835,145.0886,Southern Metropolitan,8801.0
1047,Brighton,50 Well St,3,h,1975000.0,S,Buxton,2016-03-12,11.2,3186.0,3.0,1.0,2.0,432.0,122.0,1930.0,Bayside,-37.9172,144.996,Southern Metropolitan,10579.0
5717,Southbank,41/106 Southbank Bvd,3,u,720000.0,S,VICPROP,2016-03-09,1.2,3006.0,3.0,1.0,1.0,0.0,106.0,1993.0,Melbourne,-37.8235,144.9655,Southern Metropolitan,8400.0
4753,Port Melbourne,146 Dow St,5,h,2350000.0,S,hockingstuart,2016-10-15,3.8,3207.0,5.0,1.0,2.0,350.0,173.0,1890.0,Port Phillip,-37.8407,144.9424,Southern Metropolitan,8648.0
4277,Newport,108 Mason St,4,t,820000.0,S,Sweeney,2016-06-27,8.4,3015.0,4.0,2.0,2.0,753.0,204.0,2006.0,Hobsons Bay,-37.8413,144.8741,Western Metropolitan,5498.0
1698,Carlton North,24/635 Drummond St,2,u,570000.0,S,hockingstuart,2016-06-27,3.2,3054.0,2.0,1.0,1.0,0.0,76.0,1975.0,Yarra,-37.7902,144.97,Northern Metropolitan,3106.0
11348,Epping,4 Nuthall Wy,4,h,1012000.0,S,Iconek,2017-07-15,19.6,3076.0,4.0,3.0,3.0,631.0,355.0,2009.0,Whittlesea,-37.6246,145.01686,Northern Metropolitan,10926.0
11531,Wantirna South,12/440 Stud Rd,3,u,622000.0,S,Ray,2017-07-15,14.7,3152.0,3.0,1.0,1.0,137.0,71.0,2012.0,Knox,-37.87615,145.23192,Eastern Metropolitan,7082.0
6547,Williamstown,19 MacLean St,4,h,1300000.0,PI,Sweeney,2016-06-27,8.0,3016.0,4.0,2.0,2.0,369.0,250.0,1980.0,Hobsons Bay,-37.8576,144.8992,Western Metropolitan,6380.0
4214,Newport,37 Alma Tce,3,h,995000.0,SP,Greg,2016-07-11,8.4,3015.0,3.0,1.0,2.0,316.0,118.0,1960.0,Hobsons Bay,-37.849000000000004,144.8907,Western Metropolitan,5498.0
4276,Newport,42 Farm St,3,h,1151000.0,S,Williams,2016-06-27,8.4,3015.0,2.0,1.0,5.0,571.0,120.0,1920.0,Hobsons Bay,-37.8417,144.8896,Western Metropolitan,5498.0
12207,Williamstown,2/29 Dover Rd,1,u,385000.0,SP,Williams,2017-07-29,6.8,3016.0,1.0,1.0,1.0,0.0,35.64,1967.0,Hobsons Bay,-37.85588,144.89936,Western Metropolitan,6380.0
4183,Moorabbin,10 Beilby St,3,h,800000.0,PI,hockingstuart,2016-07-26,14.6,3189.0,3.0,2.0,2.0,261.0,107.0,1990.0,Kingston,-37.9429,145.0474,Southern Metropolitan,2555.0
11308,Carnegie,55 Tranmere Av,3,h,1840000.0,S,Ray,2017-07-15,10.1,3163.0,3.0,2.0,1.0,483.0,171.0,1920.0,Glen Eira,-37.89204,145.06086000000005,Southern Metropolitan,7822.0
8544,Yarraville,2C Castlemaine St,3,h,1425000.0,PI,Jas,2017-04-29,7.0,3013.0,3.0,3.0,2.0,305.0,220.0,2007.0,Maribyrnong,-37.8149,144.8942,Western Metropolitan,6543.0
8507,Williamstown,73a Victoria St,4,h,2075000.0,SP,Greg,2017-06-05,8.0,3016.0,4.0,3.0,2.0,324.0,229.0,2009.0,Hobsons Bay,-37.8622,144.8884,Western Metropolitan,6380.0
4165,Moorabbin,83 Bulli St,4,h,1200000.0,S,Buxton,2016-08-10,14.6,3189.0,4.0,2.0,1.0,696.0,214.0,1955.0,Kingston,-37.9398,145.0554,Southern Metropolitan,2555.0
38,Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,2016-03-09,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0
7964,Hawthorn East,1/27 Auburn Gr,3,h,1405000.0,S,Kay,2017-05-20,7.5,3123.0,3.0,2.0,2.0,185.0,185.0,1985.0,Boroondara,-37.8255,145.0481,Southern Metropolitan,6482.0
11841,Thomastown,14 Marjory St,3,h,631000.0,S,Harcourts,2017-07-22,15.3,3074.0,3.0,1.0,2.0,584.0,121.0,1965.0,Whittlesea,-37.6819,145.02293999999995,Northern Metropolitan,7955.0
3557,Kensington,148b Kensington Rd,3,t,790000.0,SP,Edward,2016-08-22,4.2,3031.0,3.0,2.0,2.0,1181.0,136.0,2003.0,Melbourne,-37.7982,144.9202,Northern Metropolitan,5263.0
11789,Sandringham,124 Abbott St,3,h,1651000.0,S,Buxton,2017-07-22,15.2,3191.0,3.0,2.0,1.0,390.0,125.0,1950.0,Bayside,-37.95035,145.01571,Southern Metropolitan,4497.0
6388,Toorak,13 Bruce St,3,h,1900000.0,VB,Castran,2016-11-19,4.6,3142.0,3.0,2.0,1.0,268.0,139.0,1900.0,Stonnington,-37.8369,145.0072,Southern Metropolitan,7217.0
37,Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,2016-07-30,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0
5873,St Kilda,5/69 Wellington St,2,u,580000.0,PI,McGrath,2016-11-27,6.1,3182.0,2.0,1.0,1.0,1155.0,102.0,1995.0,Port Phillip,-37.8568,144.9873,Southern Metropolitan,13240.0
10235,Doncaster East,2/24 Boronia Gr,3,u,871000.0,S,Fletchers,2017-05-27,14.3,3109.0,3.0,2.0,2.0,195.0,142.0,2010.0,Manningham,-37.79979,145.15665,Eastern Metropolitan,10999.0
1384,Brunswick,10 Cliff St,1,h,772000.0,SP,Collins,2016-08-28,5.2,3056.0,1.0,1.0,1.0,147.0,82.0,1890.0,Moreland,-37.7643,144.9584,Northern Metropolitan,11918.0
1389,Brunswick,411 Barkly St,2,h,945000.0,S,Jellis,2016-07-30,5.2,3056.0,2.0,1.0,2.0,246.0,103.0,1910.0,Moreland,-37.775,144.9536,Northern Metropolitan,11918.0
5528,South Melbourne,396 Dorcas St,4,h,1620000.0,S,Greg,2016-03-12,2.1,3205.0,4.0,2.0,0.0,163.0,153.0,1890.0,Port Phillip,-37.8355,144.951,Southern Metropolitan,5943.0
6117,Surrey Hills,6/38 Boisdale St,2,u,640000.0,VB,Jellis,2017-04-03,11.2,3127.0,2.0,1.0,1.0,0.0,76.0,1970.0,Whitehorse,-37.8356,145.1029,Southern Metropolitan,5457.0
11366,Forest Hill,35 Panorama Dr,4,h,945000.0,S,Ray,2017-07-15,15.4,3131.0,4.0,2.0,2.0,294.0,194.0,2010.0,Whitehorse,-37.85156,145.16923,Eastern Metropolitan,4385.0
3868,Malvern East,5/417 Wattletree Rd,2,u,835000.0,S,Jellis,2016-06-18,11.2,3145.0,2.0,1.0,1.0,0.0,118.0,1930.0,Stonnington,-37.865,145.0506,Southern Metropolitan,8801.0
6213,Templestowe Lower,16 Clauscen St,4,h,1280000.0,PI,Jellis,2016-12-11,13.8,3107.0,4.0,2.0,2.0,681.0,158.0,1970.0,Manningham,-37.7646,145.1167,Eastern Metropolitan,5420.0
8580,Balwyn,27A Yerrin St,3,t,1680000.0,S,Fletchers,2017-04-22,9.7,3103.0,3.0,3.0,1.0,329.0,178.0,2005.0,Boroondara,-37.8101,145.0844,Southern Metropolitan,5682.0
8266,Preston,3 Carthew Gr,4,h,1075000.0,S,Nelson,2017-05-13,8.8,3072.0,4.0,1.0,2.0,521.0,146.0,1935.0,Darebin,-37.7506,144.99,Northern Metropolitan,14577.0
5994,Sunshine,68 Chapman St,4,h,895000.0,S,Jas,2016-11-27,12.6,3020.0,4.0,2.0,3.0,430.0,144.0,1945.0,Brimbank,-37.7939,144.8283,Western Metropolitan,3755.0
559,Balwyn,2/30 Kalimna St,2,u,755000.0,PI,Noel,2016-11-19,9.7,3103.0,2.0,1.0,1.0,213.0,92.0,1980.0,Boroondara,-37.8092,145.0789,Southern Metropolitan,5682.0
9952,Melton,102 Palmerston St,4,h,405000.0,S,hockingstuart,2017-06-24,31.7,3337.0,4.0,2.0,2.0,590.0,163.0,1970.0,Melton,-37.67815,144.58355,Western Victoria,3600.0
8022,Keilor East,3 Pennington St,3,h,941000.0,S,Harcourts,2017-05-13,12.8,3033.0,3.0,1.0,1.0,703.0,111.0,1965.0,Moonee Valley,-37.746,144.8651,Western Metropolitan,5629.0
7000,Hawthorn East,11 Council St,3,h,1320000.0,VB,Jellis,2016-06-18,7.5,3123.0,3.0,2.0,1.0,213.0,162.0,1890.0,Boroondara,-37.8302,145.0542,Southern Metropolitan,6482.0
3862,Malvern East,1/14 Durward Rd,4,t,1240000.0,PI,Jellis,2017-03-18,11.2,3145.0,4.0,2.0,2.0,310.0,180.0,1990.0,Stonnington,-37.8822,145.0837,Southern Metropolitan,8801.0
185,Altona,2/60 David St,2,h,535600.0,SP,Compton,2016-07-30,13.8,3018.0,2.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay,-37.8646,144.8272,Western Metropolitan,5301.0
20,Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,2017-03-18,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0
1329,Brunswick,3 Ballarat St,1,t,625000.0,PI,Jellis,2016-06-18,5.2,3056.0,1.0,1.0,1.0,82.0,114.0,1930.0,Moreland,-37.7661,144.9614,Northern Metropolitan,11918.0
1862,Chadstone,8B Moorong St,4,h,890000.0,VB,Purplebricks,2016-04-02,13.6,3148.0,4.0,3.0,2.0,288.0,158.0,2014.0,Monash,-37.8801,145.1051,Southern Metropolitan,3582.0
11001,Eltham North,4 Colric Pl,3,h,900000.0,S,Fletchers,2017-12-08,18.0,3095.0,3.0,2.0,2.0,812.0,129.0,1980.0,Nillumbik,-37.70577,145.1316,Eastern Metropolitan,2346.0
6305,Thornbury,144 Clarendon St,3,h,1290000.0,SP,Barry,2016-05-22,6.5,3071.0,3.0,1.0,2.0,435.0,138.0,1920.0,Darebin,-37.7607,145.0105,Northern Metropolitan,8870.0
7928,Hampton,125 Linacre Rd,4,h,2500000.0,PI,RT,2017-05-20,13.7,3188.0,4.0,3.0,2.0,684.0,317.0,2008.0,Bayside,-37.9436,145.0169,Southern Metropolitan,5454.0
1708,Carnegie,8/54 Moonya Rd,1,u,346000.0,S,Woodards,2017-04-03,11.4,3163.0,1.0,1.0,1.0,60.0,48.0,1970.0,Glen Eira,-37.8965,145.0618,Southern Metropolitan,7822.0
8233,Port Melbourne,204/52 Nott St,2,u,575000.0,S,Biggin,2017-05-13,3.8,3207.0,2.0,1.0,1.0,7159.0,61.0,2008.0,Port Phillip,-37.841,144.9386,Southern Metropolitan,8648.0
581,Balwyn,321a Union Rd,3,h,1500000.0,SP,Noel,2016-08-28,9.7,3103.0,3.0,2.0,2.0,404.0,190.0,2011.0,Boroondara,-37.8075,145.1011,Southern Metropolitan,5682.0
4504,Northcote,78 Bridge St,4,h,1650000.0,S,Nelson,2016-07-30,5.5,3070.0,4.0,1.0,1.0,382.0,168.0,1970.0,Darebin,-37.7784,144.9959,Northern Metropolitan,11364.0
8745,Brighton,36/568 New St,1,u,380000.0,VB,Chisholm,2017-01-07,10.5,3186.0,1.0,1.0,1.0,1993.0,46.0,2000.0,Bayside,-37.884679999999996,144.99722,Southern Metropolitan,10579.0
3559,Kensington,66 Parsons St,2,t,700000.0,VB,Nelson,2016-08-22,4.2,3031.0,2.0,2.0,1.0,324.0,97.0,2009.0,Melbourne,-37.7903,144.9345,Northern Metropolitan,5263.0
2823,Glen Iris,17 Rosedale Rd,2,h,1600000.0,PI,Noel,2016-06-18,9.2,3146.0,2.0,2.0,2.0,718.0,184.0,1950.0,Boroondara,-37.858000000000004,145.0696,Southern Metropolitan,10412.0
7291,Albion,12 Coolamon St,2,h,600000.0,SP,Barry,2016-05-22,13.9,3020.0,2.0,1.0,1.0,534.0,90.0,1950.0,Brimbank,-37.7795,144.8204,Western Metropolitan,2185.0
5830,St Kilda,203/43 Duke St,1,u,400000.0,VB,Whiting,2017-03-18,6.1,3182.0,1.0,1.0,1.0,0.0,52.0,2012.0,Port Phillip,-37.8676,144.9901,Southern Metropolitan,13240.0
7859,Flemington,16/60 Farnham St,2,u,450000.0,S,Nelson,2017-05-13,4.4,3031.0,2.0,1.0,1.0,0.0,62.0,1970.0,Moonee Valley,-37.7826,144.9311,Northern Metropolitan,3593.0
7004,Hawthorn East,3/859 Toorak Rd,3,t,1590000.0,S,Jellis,2016-11-19,7.5,3123.0,3.0,2.0,2.0,289.0,181.0,2010.0,Boroondara,-37.8451,145.0525,Southern Metropolitan,6482.0
2240,Elsternwick,17/39 Horne St,3,t,850000.0,PI,Scott,2016-11-19,8.5,3185.0,3.0,2.0,2.0,108.0,142.0,2000.0,Glen Eira,-37.8861,145.0014,Southern Metropolitan,4898.0
2702,Footscray,13/41 Moreland St,2,u,571000.0,S,hockingstuart,2016-07-16,6.4,3011.0,2.0,2.0,1.0,0.0,78.0,2013.0,Maribyrnong,-37.8025,144.9073,Western Metropolitan,7570.0
6193,Templestowe Lower,3 Waratah Dr,4,h,1201000.0,SP,Zahn,2016-03-09,13.8,3107.0,4.0,2.0,2.0,657.0,221.0,1978.0,Manningham,-37.7624,145.1175,Eastern Metropolitan,5420.0
6752,Aberfeldie,47 Clifton St,4,h,1350000.0,S,Nelson,2016-05-28,9.1,3040.0,3.0,2.0,2.0,1076.0,180.0,1960.0,Moonee Valley,-37.7609,144.8905,Western Metropolitan,1543.0
10398,Mentone,1 Rogers St,5,h,1485000.0,S,Greg,2017-05-27,20.0,3194.0,5.0,2.0,2.0,720.0,174.0,1975.0,Kingston,-37.98439000000001,145.06812,South-Eastern Metropolitan,6162.0
493,Balaclava,4/9 Gourlay St,2,u,502500.0,S,Buxton,2016-10-15,6.6,3183.0,2.0,1.0,1.0,0.0,65.0,1960.0,Port Phillip,-37.8725,144.9952,Southern Metropolitan,2952.0
9377,West Footscray,22 Hope St,3,h,1100000.0,S,Biggin,2017-03-06,6.4,3012.0,3.0,2.0,3.0,380.0,106.4,1945.0,Maribyrnong,-37.791940000000004,144.87143999999995,Western Metropolitan,5058.0
927,Bentleigh East,1/6 Brad St,1,u,380000.0,S,hockingstuart,2017-02-25,13.9,3165.0,1.0,1.0,1.0,0.0,99.0,1970.0,Glen Eira,-37.9315,145.0619,Southern Metropolitan,10969.0
7213,Ormond,2 Wimmera St,2,h,1177000.0,S,Thomson,2016-11-27,11.8,3204.0,2.0,1.0,2.0,452.0,105.0,1930.0,Glen Eira,-37.9024,145.0539,Southern Metropolitan,3578.0
3521,Kensington,67 Collett St,3,h,1010000.0,PI,Edward,2016-07-05,4.2,3031.0,3.0,1.0,0.0,234.0,104.0,1900.0,Melbourne,-37.7923,144.9332,Northern Metropolitan,5263.0
597,Balwyn North,14 Kawarren St,4,h,1750000.0,S,Kay,2017-04-03,9.2,3104.0,4.0,2.0,2.0,673.0,185.0,1960.0,Boroondara,-37.7856,145.0918,Southern Metropolitan,7809.0
7620,Brunswick East,22 Hickford St,2,h,1283000.0,S,Jellis,2017-05-13,4.5,3057.0,2.0,1.0,1.0,263.0,109.0,1910.0,Moreland,-37.7661,144.9742,Northern Metropolitan,5533.0
8543,Yarraville,3/11 Fielding St,3,t,1120000.0,S,hockingstuart,2017-04-22,7.0,3013.0,3.0,2.0,0.0,152.0,170.0,2012.0,Maribyrnong,-37.811,144.8889,Western Metropolitan,6543.0
1729,Carnegie,1/38 Neville St,3,u,1170000.0,S,Woodards,2016-10-09,11.4,3163.0,3.0,1.0,2.0,0.0,170.0,1925.0,Glen Eira,-37.8977,145.0493,Southern Metropolitan,7822.0
1018,Braybrook,2 Riley Ct,4,h,850000.0,SA,Sweeney,2016-08-10,10.8,3019.0,4.0,2.0,2.0,606.0,240.0,2002.0,Maribyrnong,-37.788000000000004,144.862,Western Metropolitan,3589.0
5299,Richmond,249 Punt Rd,4,h,950000.0,VB,Jellis,2016-08-10,2.6,3121.0,4.0,1.0,0.0,254.0,124.0,1890.0,Yarra,-37.8201,144.9898,Northern Metropolitan,14949.0
7831,Fawkner,42a Murray St,3,u,532000.0,S,Ray,2017-05-13,12.4,3060.0,3.0,2.0,1.0,207.0,205.0,2007.0,Moreland,-37.7049,144.9631,Northern Metropolitan,5070.0
3875,Malvern East,2b Brunel St,3,h,1680000.0,S,hockingstuart,2016-08-22,11.2,3145.0,3.0,2.0,2.0,234.0,201.0,1998.0,Stonnington,-37.8695,145.05,Southern Metropolitan,8801.0
812,Bentleigh East,96 Brady Rd,3,h,1050000.0,S,Buxton,2016-07-05,13.9,3165.0,3.0,2.0,2.0,627.0,140.0,1950.0,Glen Eira,-37.9284,145.0668,Southern Metropolitan,10969.0
9845,Coburg,17 Quarry Cct,4,h,1020000.0,PI,Ray,2017-06-24,6.7,3058.0,4.0,2.0,2.0,441.0,255.0,2002.0,Moreland,-37.73572,144.97256000000004,Northern Metropolitan,11204.0
6103,Sunshine West,57 Warmington Rd,3,h,500000.0,SP,Barry,2016-11-27,13.5,3020.0,3.0,1.0,2.0,627.0,109.0,1970.0,Brimbank,-37.8023,144.8227,Western Metropolitan,6763.0
593,Balwyn North,36 Kenny St,3,h,2251000.0,S,Marshall,2016-03-12,9.2,3104.0,3.0,1.0,2.0,888.0,137.0,1950.0,Boroondara,-37.8002,145.0949,Southern Metropolitan,7809.0
9643,Mount Waverley,25 Carrol Gr,4,h,1352000.0,SP,McGrath,2017-06-17,14.2,3149.0,4.0,3.0,2.0,708.0,150.0,1960.0,Monash,-37.891870000000004,145.11049,Eastern Metropolitan,13366.0
931,Bentleigh East,4 Mawby Rd,4,h,1433500.0,S,Hodges,2017-02-25,13.9,3165.0,4.0,1.0,1.0,725.0,186.0,1950.0,Glen Eira,-37.9289,145.0502,Southern Metropolitan,10969.0
11883,Balwyn,27 Burroughs Rd,5,h,3812000.0,S,VICProp,2017-07-29,7.9,3103.0,5.0,4.0,2.0,729.0,1.0,2012.0,Boroondara,-37.806,145.09511,Southern Metropolitan,5682.0
6563,Windsor,207/152 Peel St,2,u,580000.0,VB,Jellis,2016-03-09,5.1,3181.0,2.0,2.0,1.0,0.0,78.0,2012.0,Port Phillip,-37.8558,144.9903,Southern Metropolitan,4380.0
